Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-17 02:00,25.1367,850.537,850.537,21379.693407900002,False
01-17 03:00,21.6333,850.537,850.537,18399.922082099998,False
01-17 04:00,0.0,850.537,850.537,0.0,False
01-17 05:00,45.53,850.537,850.537,38724.94961,False
01-17 06:00,40.153,850.537,850.537,34151.612161,False
01-17 07:00,74.1155,850.5370000000001,850.5370000000001,63037.97502350001,False
01-17 08:00,160.887,850.537,850.537,136840.346319,False
01-17 09:00,159.728,850.537,850.537,135854.573936,False
01-17 10:00,175.694,673.1086190626407,673.1086190626407,118261.1457175916,False
01-17 11:00,199.239,0.0,0.0,0.0,False
01-17 12:00,178.179,665.752630392538,665.752630392538,118623.13793071202,False
01-17 13:00,229.079,666.2665276441846,666.2665276441846,152627.66988620217,False
01-17 14:00,398.928,803.2490619982643,803.2490619982643,320438.5418048436,False
01-17 15:00,428.027,850.537,850.537,364052.800499,False
01-17 16:00,298.194,812.8639064731161,812.8639064731161,242391.1397268444,False
01-17 17:00,335.682,850.5369999999999,850.5369999999999,285509.961234,False
01-17 18:00,194.219,850.537,850.537,165190.445603,False
01-17 19:00,219.814,850.5370000000001,850.5370000000001,186959.94011800003,False
01-17 20:00,232.177,850.537,850.537,197475.129049,False
01-17 21:00,200.798,850.537,850.537,170786.12852600001,False
01-17 22:00,216.671,850.537,850.537,184286.702327,False
01-17 23:00,125.004,850.537,850.537,106320.52714800001,False
01-18 00:00,115.871,850.5370000000001,850.5370000000001,98552.572727,False
01-18 01:00,151.545,850.537,850.537,128894.629665,False
01-18 02:00,131.679,850.5370000000001,850.5370000000001,111997.86162300002,False
01-18 03:00,99.2062,850.537,850.537,84378.5437294,False
01-18 04:00,123.146,850.537,850.537,104740.22940200001,False
01-18 05:00,276.761,850.537,850.537,235395.47065700003,False
01-18 06:00,278.049,850.537,850.537,236490.962313,False
01-18 07:00,308.364,850.537,850.537,262274.991468,False
01-18 08:00,340.766,850.537,850.537,289834.091342,False
01-18 09:00,180.335,850.537,850.537,153381.589895,False
01-18 10:00,122.356,850.537,850.537,104068.305172,False
01-18 11:00,123.146,850.537,850.537,104740.22940200001,False
01-18 12:00,72.7866,850.537,850.537,61907.69640420001,False
01-18 13:00,58.315599999999996,850.5369999999999,850.5369999999999,49599.57547719999,False
01-18 14:00,39.5192,733.2814927307353,733.2814927307353,28978.697967524473,False
